"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, -4.500000000000000e-01, 3.000000000000000e-01, 8.678283867385405e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.335318439486715e+06, 9.341273757946858e+05, 3.749752413176462e+02, 0.000000000000000e+00, 1.436657617445226e+08, 0.000000000000000e+00, 0.000000000000000e+00, 2.181040518375639e-05, -1.805478318199424e+01, 0.000000000000000e+00, -3.525172320486602e+01, 4.519709537248438e+02
1, 0.000000000000000e+00, 3.000000000000000e-01, 8.711258236789178e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.318311585517363e+06, 9.273246342069450e+05, 3.708354587128957e+02, 0.000000000000000e+00, 1.424940929077064e+08, 0.000000000000000e+00, 0.000000000000000e+00, 2.163474220139482e-05, -1.297163691781060e+01, 2.094965057544646e+00, -3.164655398096820e+01, 4.966018321567631e+02
2, 5.000000000000000e-01, 1.000000000000000e-01, 9.658912413751153e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.060287361219998e+06, 1.224114944487999e+06, 4.414935034831874e+02, 0.000000000000000e+00, 1.936117126409017e+08, 0.000000000000000e+00, 0.000000000000000e+00, 2.450578717651694e-05, 1.483892357076132e+01, -7.603096985383652e+00, -1.265581145085967e+02, 4.029344847017658e+02
3, 7.000000000000000e-01, 5.000000000000000e-02, 3.479163880921970e+00, 0.000000000000000e+00, 0.000000000000000e+00, 9.365373920563640e+05, 3.746149568225455e+05, 3.750943929746177e+02, 0.000000000000000e+00, 4.729825216533977e+07, 0.000000000000000e+00, 0.000000000000000e+00, 2.181544634546683e-05, 1.515516987372402e+02, 2.671254064428159e+01, -2.562824823502269e+02, 6.528012365489567e+02
4, 1.300000000000000e+00, 2.300000000000000e-01, 1.286488623468700e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.399604767875703e+05, 1.359841907150281e+05, 3.682246145486808e+02, 0.000000000000000e+00, 6.197729890964721e+06, 0.000000000000000e+00, 0.000000000000000e+00, 2.152343871517104e-05, -1.556575576346400e+01, -2.856048540252946e+00, 2.214539641790928e+01, 1.319115505330187e+02
5, 1.700000000000000e+00, 2.500000000000000e-01, 1.399809540859219e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.719753004222040e+05, 1.487901201688815e+05, 3.702844638284498e+02, 0.000000000000000e+00, 8.403356589263281e+06, 0.000000000000000e+00, 0.000000000000000e+00, 2.161128614238062e-05, -1.874191726857589e+01, 2.125485304623119e-02, 8.554046004659851e+00, 2.011879663059037e+02
6, 3.000000000000000e+00, 2.500000000000000e-01, 8.191190226552961e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.338502083126534e+05, 9.354008332506132e+04, 3.978149371142222e+02, 0.000000000000000e+00, -1.112622456524729e+06, 0.000000000000000e+00, 0.000000000000000e+00, 2.276206540043626e-05, 1.129522945016070e+01, 1.401265033867846e+01, -2.998397041494365e+01, 2.340414844411133e+02
7, 3.000000000000000e+00, 2.500000000000000e+00, 1.161011908570202e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.499418165191005e+05, 9.997672660764017e+04, 2.999801957156287e+02, 0.000000000000000e+00, -4.008488078416503e+03, 0.000000000000000e+00, 0.000000000000000e+00, 1.845822541073762e-05, -9.303720378046371e-07, -4.346635589093494e-07, -9.298289808224651e-05, 9.968979190297576e-02
8, 1.300000000000000e+01, 2.500000000000000e+00, 1.161215179281870e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.500021189733529e+05, 1.000008475893412e+05, 3.000000465267709e+02, 0.000000000000000e+00, 1.459843806555056e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845916471349906e-05, 2.836232948463550e-03, 0.000000000000000e+00, 1.028567003768464e-05, 1.184472024514805e+01
9, 1.300000000000000e+01, -2.500000000000000e+00, 1.161222849445382e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.500037435701976e+05, 1.000014974280790e+05, 3.000000144395384e+02, 0.000000000000000e+00, 2.579092257042735e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845916319521644e-05, 3.084219825999294e-03, 0.000000000000000e+00, 1.065721282846845e-05, 1.235173572872428e+01
10, 3.000000000000000e+00, -2.500000000000000e+00, 1.161012679941201e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.499420551650042e+05, 9.997682206600168e+04, 2.999802828329415e+02, 0.000000000000000e+00, -3.992046826613609e+03, 0.000000000000000e+00, 0.000000000000000e+00, 1.845822953302985e-05, 7.259070405822819e-07, -3.391388873201316e-07, -1.073382877166277e-04, 7.348924804985642e-02
11, 3.000000000000000e+00, -2.500000000000000e-01, 8.359099162665216e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.427611650354986e+05, 9.710446601419941e+04, 4.046784449319572e+02, 0.000000000000000e+00, -4.987117169375676e+05, 0.000000000000000e+00, 0.000000000000000e+00, 2.304247877616914e-05, 1.273072238856953e+01, -1.579349602215405e+01, -3.264780889421003e+01, 2.443752179374370e+02
12, 1.700000000000000e+00, -2.500000000000000e-01, 1.363916453122611e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.637494237840420e+05, 1.454997695136167e+05, 3.716249658372466e+02, 0.000000000000000e+00, 7.836643702223879e+06, 0.000000000000000e+00, 0.000000000000000e+00, 2.166832067664256e-05, -2.383016999730964e+01, -2.702534436310295e-02, 1.084103413139785e+01, 2.315531284823169e+02
