"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, -4.500000000000000e-01, 3.000000000000000e-01, 9.188628529435343e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.978261031903115e+06, 7.913044127612457e+05, 3.000013702401630e+02, 0.000000000000000e+00, 1.190666772710506e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.845922734803218e-05, 5.212895650367142e+00, 0.000000000000000e+00, -2.716219968882562e-01, 2.952653869210351e+02
1, 0.000000000000000e+00, 3.000000000000000e-01, 8.565777849016962e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.986754651091349e+06, 7.947018604365392e+05, 3.231973328295224e+02, 0.000000000000000e+00, 1.196518359919153e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.953675874012033e-05, 1.869171849677067e+00, -3.018778382736663e-01, -3.135332520494050e+00, 2.070035111068991e+02
2, 5.000000000000000e-01, 1.000000000000000e-01, 8.422008406849834e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.935136944765539e+06, 7.740547779062156e+05, 3.201742275369181e+02, 0.000000000000000e+00, 1.160956898617215e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.939853745929665e-05, 1.277245312386215e+01, -6.544288699844557e+00, -6.472442759049242e+00, 4.409748166965741e+02
3, 7.000000000000000e-01, 5.000000000000000e-02, 2.471725705430610e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.596164128153584e+05, 2.238465651261433e+05, 3.154863007351508e+02, 0.000000000000000e+00, 2.133068837518827e+07, 0.000000000000000e+00, 0.000000000000000e+00, 1.918291274501765e-05, 1.240729653136693e+02, 2.186913216026868e+01, -1.631113474059037e+02, 5.661759151913474e+02
4, 1.300000000000000e+00, 2.300000000000000e-01, 6.162483089866907e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.398260310509431e+05, 5.593041242037721e+04, 3.161714321818395e+02, 0.000000000000000e+00, -7.590316602858817e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.921452425708925e-05, -2.479503510367081e+01, -4.549462608142597e+00, -1.098654002280152e+01, 1.290734743432954e+02
5, 1.700000000000000e+00, 2.500000000000000e-01, 6.338410094414875e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.356886674710157e+05, 5.427546698840625e+04, 2.983002240580066e+02, 0.000000000000000e+00, -7.875355798345249e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.837862247868914e-05, -2.540341386283400e+01, 2.880953003844694e-02, -1.134847285837884e+01, 1.853379621933594e+02
6, 3.000000000000000e+00, 2.500000000000000e-01, 1.170917581874255e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.601187156895619e+05, 1.040474862758247e+05, 3.095534228272283e+02, 0.000000000000000e+00, 6.971179892194178e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.890774574912785e-05, -3.606984694724040e+00, -4.474757730876703e+00, -3.662615697375672e+00, 1.903614638377705e+02
7, 3.000000000000000e+00, 2.500000000000000e+00, 1.145890182613510e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.454098075995616e+05, 9.816392303982461e+04, 2.984277832522449e+02, 0.000000000000000e+00, -3.162363480204155e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.838467431328959e-05, 1.881755707219391e-02, 8.791436107946773e-03, 3.830090952511576e-01, 1.414135915696344e+01
8, 1.300000000000000e+01, 2.500000000000000e+00, 1.148918613675571e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.504040863667747e+05, 1.001616345467098e+05, 3.036983853902590e+02, 0.000000000000000e+00, 2.783909382566057e+04, 0.000000000000000e+00, 0.000000000000000e+00, 1.863363785311390e-05, 2.079466509431123e+00, 0.000000000000000e+00, -1.533147955990561e-01, 3.160330474734598e+02
9, 1.300000000000000e+01, -2.500000000000000e+00, 1.152774612225491e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.516744966757570e+05, 1.006697986703028e+05, 3.042181647224223e+02, 0.000000000000000e+00, 1.153626400198637e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.865807572697049e-05, 2.255756734373894e+00, 0.000000000000000e+00, -2.729618738637172e-01, 3.292767248325391e+02
10, 3.000000000000000e+00, -2.500000000000000e+00, 1.121378163217310e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.378643677867218e+05, 9.514574711468870e+04, 2.955749543839763e+02, 0.000000000000000e+00, -8.360712748510154e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.824902509851386e-05, 8.858973631162762e-03, -4.138852900036565e-03, 3.625880318548627e-01, 8.070174835101016e+00
11, 3.000000000000000e+00, -2.500000000000000e-01, 1.179366168278473e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.566741500688678e+05, 1.026696600275471e+05, 3.032660564754380e+02, 0.000000000000000e+00, 4.598083609125667e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.861329596834793e-05, -3.849275702497187e+00, 4.775339422226971e+00, -2.843143307375732e+00, 1.975925902259823e+02
12, 1.700000000000000e+00, -2.500000000000000e-01, 5.679570231761747e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.242222693505809e+05, 4.968890774023233e+04, 3.047714780509522e+02, 0.000000000000000e+00, -8.665320913142635e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.868406781895804e-05, -3.245469044247319e+01, -3.680624961990493e-02, -1.722649705789485e+01, 2.022290261795953e+02
13, 1.300000000000000e+00, -2.300000000000000e-01, 4.946379007435679e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.079064292471598e+05, 4.316257169886391e+04, 3.039836796641495e+02, 0.000000000000000e+00, -9.789383095960516e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.864705373728901e-05, -1.756447229882183e+01, 3.222778665126419e+00, -4.070694106407191e+00, 1.446047015318262e+02
14, 7.000000000000000e-01, -5.000000000000000e-02, 2.301397229627648e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.208463774691013e+05, 2.083385509876405e+05, 3.153613010232538e+02, 0.000000000000000e+00, 1.865966866164607e+07, 0.000000000000000e+00, 0.000000000000000e+00, 1.917714168576167e-05, 9.172345632792687e+01, -1.616719941319094e+01, -1.157735234182663e+02, 6.468368273685588e+02
15, 5.000000000000000e-01, -1.000000000000000e-01, 8.290278347877944e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.902308262117207e+06, 7.609233048468824e+05, 3.197437899968549e+02, 0.000000000000000e+00, 1.138339932256418e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.937880459832765e-05, 1.376544649773030e+01, 7.053073915063091e+00, -4.777678770207508e+00, 3.647248529025077e+02
16, 0.000000000000000e+00, -3.000000000000000e-01, 8.311369070871180e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.989970697708028e+06, 7.959882790832111e+05, 3.336295043641176e+02, 0.000000000000000e+00, 1.198734020502411e+08, 0.000000000000000e+00, 0.000000000000000e+00, 2.000885837162941e-05, 1.565784298771258e+00, 2.528796795903562e-01, -3.346595182980709e+00, 1.515205617873895e+02
17, -4.500000000000000e-01, -3.000000000000000e-01, 9.184121234025440e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.977397337077271e+06, 7.909589348309082e+05, 3.000175592863446e+02, 0.000000000000000e+00, 1.190071739488145e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.845999335897616e-05, 5.089253082656188e+00, 0.000000000000000e+00, -3.257521625505719e-01, 2.916590670791057e+02
18, -4.400000000000099e-01, 3.000000000000000e-01, 9.262058756424175e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.993802169278970e+06, 7.975208677115877e+05, 2.999610527073415e+02, 0.000000000000000e+00, 1.201373671461318e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.845731957121263e-05, 4.983637964472292e+00, 0.000000000000000e+00, -1.544901040613017e-01, 2.179716999442792e+02
19, -4.300000000000272e-01, 3.000000000000000e-01, 9.241415548022468e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.989070400727825e+06, 7.956281602911296e+05, 2.999176277178180e+02, 0.000000000000000e+00, 1.198113770621107e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.845526461370497e-05, 5.067331470430537e+00, 0.000000000000000e+00, -1.699073766128728e-01, 2.554562442693134e+02
20, -4.200000000000297e-01, 3.000000000000000e-01, 9.245356132080522e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.989823676506894e+06, 7.959294706027576e+05, 2.999033285354022e+02, 0.000000000000000e+00, 1.198632731833719e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.845458791605377e-05, 4.959280200350602e+00, 0.000000000000000e+00, -1.750688851656398e-01, 2.360570746234338e+02
21, -4.100000000000504e-01, 3.000000000000000e-01, 9.230819811198860e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.986843844461728e+06, 7.947375377846910e+05, 2.999257809424672e+02, 0.000000000000000e+00, 1.196579808728387e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.845565045167146e-05, 4.786828072121916e+00, 0.000000000000000e+00, -2.098999087300042e-01, 2.541296902872110e+02
22, -4.000000000000518e-01, 3.000000000000000e-01, 9.222258612062062e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.985317764429614e+06, 7.941271057718454e+05, 2.999736231568357e+02, 0.000000000000000e+00, 1.195528432371927e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.845791440304577e-05, 4.721524441597642e+00, 0.000000000000000e+00, -2.597234527445935e-01, 2.524956590864146e+02
23, -3.900000000000702e-01, 3.000000000000000e-01, 9.244137210528084e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.990253520091012e+06, 7.961014080364045e+05, 3.000076673934789e+02, 0.000000000000000e+00, 1.198928867928686e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.845952531043258e-05, 4.197495027173667e+00, 0.000000000000000e+00, -3.011726462618903e-01, 3.008798475251440e+02
24, -3.800000000000791e-01, 3.000000000000000e-01, 9.211104633712075e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.983033288969416e+06, 7.932133155877662e+05, 2.999912762717439e+02, 0.000000000000000e+00, 1.193954567675958e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.845874972538293e-05, 3.907981975955191e+00, 0.000000000000000e+00, -2.604118578257781e-01, 2.812816733468940e+02
25, -3.700000000001116e-01, 3.000000000000000e-01, 9.232398667133989e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.987021780399041e+06, 7.948087121596162e+05, 2.999013457575331e+02, 0.000000000000000e+00, 1.196702395770691e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.845449408139856e-05, 3.866411764169339e+00, 0.000000000000000e+00, -1.958198339442733e-01, 2.837457283672355e+02
26, -3.600000000001345e-01, 3.000000000000000e-01, 9.242586768825703e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.988081706745481e+06, 7.952326826981922e+05, 2.997305629818807e+02, 0.000000000000000e+00, 1.197432620579866e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.844641067983468e-05, 3.539639214617168e+00, 0.000000000000000e+00, -8.827887630684329e-02, 3.381558927566983e+02
27, -3.500000000001531e-01, 3.000000000000000e-01, 9.229241850558832e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.983927241627959e+06, 7.935708966511833e+05, 2.995367068079856e+02, 0.000000000000000e+00, 1.194570446705372e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.843723246402768e-05, 3.426586316311751e+00, 0.000000000000000e+00, 3.119472279445247e-02, 3.125147216925420e+02
28, -3.400000000001878e-01, 3.000000000000000e-01, 9.241780709401150e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.985817629361310e+06, 7.943270517445237e+05, 2.994153347346295e+02, 0.000000000000000e+00, 1.195872808918077e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.843148457250245e-05, 3.513604657048810e+00, 0.000000000000000e+00, 1.043897293184326e-01, 2.680914812708622e+02
