"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, -4.500000000000000e-01, 3.000000000000000e-01, 9.184472405886945e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.977636204313437e+06, 7.910544817253748e+05, 3.000423283757559e+02, 0.000000000000000e+00, 1.190236304490736e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.846116530962825e-05, 5.383030227457290e+00, 0.000000000000000e+00, -3.804197352628584e-01, 2.999456718259900e+02
1, 0.000000000000000e+00, 3.000000000000000e-01, 8.669537114239951e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.022405629660567e+06, 8.089622518642268e+05, 3.250593720153762e+02, 0.000000000000000e+00, 1.221079716573848e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.962157475878581e-05, 1.501522776890570e+00, -2.425012178974927e-01, -4.338904172977580e+00, 1.858455916361844e+02
2, 5.000000000000000e-01, 1.000000000000000e-01, 8.524866150142774e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.964252055861094e+06, 7.857008223444375e+05, 3.210701893647429e+02, 0.000000000000000e+00, 1.181015439963297e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.943956955692716e-05, 1.260651542964143e+01, -6.459266334396362e+00, -5.828962778161623e+00, 4.398377006478975e+02
3, 7.000000000000000e-01, 5.000000000000000e-02, 2.501942340153954e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.685597309602296e+05, 2.274238923840918e+05, 3.166570320061614e+02, 0.000000000000000e+00, 2.194682861999558e+07, 0.000000000000000e+00, 0.000000000000000e+00, 1.923690902616125e-05, 1.244619277365610e+02, 2.193769077503292e+01, -1.638090338128397e+02, 5.689169105416057e+02
4, 1.300000000000000e+00, 2.300000000000000e-01, 6.159299416087270e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.379186181296484e+05, 5.516744725185935e+04, 3.120196297664068e+02, 0.000000000000000e+00, -7.721725756065456e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.902244107712439e-05, -2.230983926321790e+01, -4.093471902633243e+00, -8.662417713858151e+00, 1.236385871821056e+02
5, 1.700000000000000e+00, 2.500000000000000e-01, 6.526260625978579e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.384934147760134e+05, 5.539736591040536e+04, 2.957025344942301e+02, 0.000000000000000e+00, -7.682125761894517e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.825510493636763e-05, -2.264329817784458e+01, 2.567933516914128e-02, -8.871814198007595e+00, 1.787552669949851e+02
6, 3.000000000000000e+00, 2.500000000000000e-01, 1.197132265202502e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.680508299470729e+05, 1.072203319788291e+05, 3.120077321284705e+02, 0.000000000000000e+00, 1.243592434307242e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.902188882886350e-05, -2.574019510449151e+00, -3.193280448530159e+00, -3.953027790683133e+00, 1.616243615247175e+02
7, 3.000000000000000e+00, 2.500000000000000e+00, 1.130619299783374e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.408802512783541e+05, 9.635210051134160e+04, 2.968760325989684e+02, 0.000000000000000e+00, -6.282952388491813e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.831096852754301e-05, 6.034117753552620e-03, 2.819099232417009e-03, 3.543437872274733e-01, 7.986339065889585e+00
8, 1.300000000000000e+01, 2.500000000000000e+00, 1.167969317066748e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.588955325022320e+05, 1.035582130008928e+05, 3.088754983265111e+02, 0.000000000000000e+00, 6.128481045661676e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.887613906149512e-05, 5.773623341636311e+00, 0.000000000000000e+00, -2.600935279113024e+00, 5.241267489562854e+02
9, 1.300000000000000e+01, -2.500000000000000e+00, 1.178888758294523e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.620774985698059e+05, 1.048309994279223e+05, 3.097756273721085e+02, 0.000000000000000e+00, 8.320662202683174e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.891809813276764e-05, 6.055155794929962e+00, 0.000000000000000e+00, -2.825268950184692e+00, 5.380605508381632e+02
