"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, -4.500000000000000e-01, 3.000000000000000e-01, 9.077596717197435e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.955708872305240e+06, 7.822835489220960e+05, 3.002089654101966e+02, 0.000000000000000e+00, 1.175129705918874e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.846904852510794e-05, 9.286496963990103e+00, 0.000000000000000e+00, -1.347998145650086e+00, 3.914966725230194e+02
1, 0.000000000000000e+00, 3.000000000000000e-01, 8.609062271276974e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.993592026885318e+06, 7.974368107541269e+05, 3.226790543581381e+02, 0.000000000000000e+00, 1.201228896128749e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.951310793435690e-05, 1.023365112170544e+00, -1.652770706343054e-01, -2.851973218249715e+00, 1.537407471483398e+02
2, 5.000000000000000e-01, 1.000000000000000e-01, 7.918653535311785e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.925524187218223e+06, 7.702096748872892e+05, 3.388347727917761e+02, 0.000000000000000e+00, 1.154334293122773e+08, 0.000000000000000e+00, 0.000000000000000e+00, 2.024165684196904e-05, 1.451342366326575e+01, -7.436318893049611e+00, -2.079830503118747e+01, 4.368198159512945e+02
3, 7.000000000000000e-01, 5.000000000000000e-02, 2.415081536224552e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.567852149997394e+05, 2.227140859998957e+05, 3.212522908948617e+02, 0.000000000000000e+00, 2.113563605937485e+07, 0.000000000000000e+00, 0.000000000000000e+00, 1.944790226014715e-05, 1.266620989972773e+02, 2.232549351638103e+01, -1.724717924407985e+02, 5.577552927036631e+02
4, 1.300000000000000e+00, 2.300000000000000e-01, 7.587859433633930e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.745530962661903e+05, 6.982123850647609e+04, 3.205520927541157e+02, 0.000000000000000e+00, -5.197832950084793e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.941584937371188e-05, -2.851021795825629e+01, -5.231134781974157e+00, -7.533141825766920e+00, 1.519882153061356e+02
5, 1.700000000000000e+00, 2.500000000000000e-01, 5.973938839576962e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.531157925371729e+05, 6.124631701486914e+04, 3.571490927380916e+02, 0.000000000000000e+00, -6.674732838207417e+06, 0.000000000000000e+00, 0.000000000000000e+00, 2.104672718210166e-05, -5.460491284007074e+01, 6.192639639723219e-02, -5.368144729016353e+01, 2.303577378017030e+02
6, 3.000000000000000e+00, 2.500000000000000e-01, 1.151408536919891e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.518367285240193e+05, 1.007346914096077e+05, 3.047754355107425e+02, 0.000000000000000e+00, 1.265394279954993e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.868425363892524e-05, -1.171626529670948e+00, -1.453497953294316e+00, -1.631206539348395e+00, 1.088722110748092e+02
7, 3.000000000000000e+00, 2.500000000000000e+00, 1.130720598193264e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.409377722059721e+05, 9.637510888238884e+04, 2.969203222955064e+02, 0.000000000000000e+00, -6.243323966635343e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.831307480964829e-05, -1.099903441686891e-01, -5.138674906313800e-02, 9.623597789284706e-01, 3.409475984518135e+01
8, 1.300000000000000e+01, 2.500000000000000e+00, 1.161212072332750e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.500014390982764e+05, 1.000005756393105e+05, 3.000000333640183e+02, 0.000000000000000e+00, 9.914512152304341e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845916409067257e-05, 1.997873208835568e-03, 0.000000000000000e+00, -1.854711358660554e-06, 9.941164356998780e+00
9, 1.300000000000000e+01, -2.500000000000000e+00, 1.161217018800285e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.500024798720588e+05, 1.000009919488235e+05, 3.000000043619323e+02, 0.000000000000000e+00, 1.708481072287383e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845916271837086e-05, 2.135363294612879e-03, 0.000000000000000e+00, 1.684462339678744e-06, 1.027756273386988e+01
10, 3.000000000000000e+00, -2.500000000000000e+00, 1.161874108750465e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.500380927014058e+05, 1.000152370805623e+05, 2.998730522161639e+02, 0.000000000000000e+00, 2.624355523232800e+03, 0.000000000000000e+00, 0.000000000000000e+00, 1.845315506104696e-05, -8.383530682327930e-02, 3.916729151901110e-02, 8.414923643533569e-01, 2.499063232928726e+01
11, 3.000000000000000e+00, -2.500000000000000e-01, 1.182233507968744e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.688962753339300e+05, 1.075585101335720e+05, 3.169362089766855e+02, 0.000000000000000e+00, 1.301838481153746e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.924977061022132e-05, -8.246243436027108e-01, 1.023013533164023e+00, -4.119477262133087e+00, 8.853892505479662e+01
12, 1.700000000000000e+00, -2.500000000000000e-01, 6.174323516512344e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.518481068231032e+05, 6.073924272924125e+04, 3.426970270066365e+02, 0.000000000000000e+00, -6.762068676377680e+06, 0.000000000000000e+00, 0.000000000000000e+00, 2.041323127375282e-05, -5.961303964956861e+01, -6.760601897690162e-02, -5.154104009024028e+01, 2.615604170148110e+02
13, 1.300000000000000e+00, -2.300000000000000e-01, 7.373105791149278e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.754378202679999e+05, 7.017512810719995e+04, 3.315607353164961e+02, 0.000000000000000e+00, -5.136880845482038e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.991583029886928e-05, -4.099915716902261e+01, 7.522640405277301e+00, -2.612127848765800e+01, 2.525490082677863e+02
14, 7.000000000000000e-01, -5.000000000000000e-02, 2.280319495199135e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.180969291749471e+05, 2.072387716699788e+05, 3.165961684723450e+02, 0.000000000000000e+00, 1.847024839082446e+07, 0.000000000000000e+00, 0.000000000000000e+00, 1.923410432076418e-05, 9.215123019213590e+01, -1.624259894176620e+01, -1.171316006519933e+02, 6.434563158513809e+02
15, 5.000000000000000e-01, -1.000000000000000e-01, 8.000075210747502e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.898137667336724e+06, 7.592550669346896e+05, 3.306160814992767e+02, 0.000000000000000e+00, 1.135466646024829e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.987325469908168e-05, 1.468470740440581e+01, 7.524080440211357e+00, -1.330510789434782e+01, 3.608471828146000e+02
16, 0.000000000000000e+00, -3.000000000000000e-01, 8.425984259833163e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.993836764159868e+06, 7.975347056639472e+05, 3.297306303049198e+02, 0.000000000000000e+00, 1.201397505230888e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.983329212767026e-05, 1.192670133168986e+00, 1.926204275834426e-01, -4.091372117707930e+00, 1.343282374106401e+02
17, -4.500000000000000e-01, -3.000000000000000e-01, 9.123136104514627e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.964642505998036e+06, 7.858570023992144e+05, 3.000749335751457e+02, 0.000000000000000e+00, 1.181284436368282e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.846270795441003e-05, 7.415818451479230e+00, 0.000000000000000e+00, -7.186739981030941e-01, 3.508467162935676e+02
18, -4.400000000000099e-01, 3.000000000000000e-01, 9.214489845109824e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.985404879628667e+06, 7.941619518514667e+05, 3.002397057713977e+02, 0.000000000000000e+00, 1.195588449447470e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.847050254827986e-05, 8.868594619276868e+00, 0.000000000000000e+00, -8.421057458683583e-01, 2.898184785054591e+02
19, -4.300000000000272e-01, 3.000000000000000e-01, 9.175586193165564e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.977205563594696e+06, 7.908822254378782e+05, 3.002675090952945e+02, 0.000000000000000e+00, 1.189939619218479e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.847181758678043e-05, 8.713072261767833e+00, 0.000000000000000e+00, -7.919034200466070e-01, 3.334807958882147e+02
20, -4.200000000000297e-01, 3.000000000000000e-01, 9.199444176275120e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.982131357956393e+06, 7.928525431825570e+05, 3.002349043370290e+02, 0.000000000000000e+00, 1.193333192045391e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.847027544457184e-05, 8.486427697465601e+00, 0.000000000000000e+00, -5.599904304983122e-01, 3.077656221006905e+02
21, -4.100000000000504e-01, 3.000000000000000e-01, 9.189149807933719e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.979419003333161e+06, 7.917676013332643e+05, 3.001599471643129e+02, 0.000000000000000e+00, 1.191464544621145e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.846672980561993e-05, 8.131234591185656e+00, 0.000000000000000e+00, -3.685240679138976e-01, 3.302681002650176e+02
22, -4.000000000000518e-01, 3.000000000000000e-01, 9.189544992645382e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.978753317225771e+06, 7.915013268903083e+05, 3.000460985809830e+02, 0.000000000000000e+00, 1.191005927366869e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.846134369293985e-05, 7.990110392639131e+00, 0.000000000000000e+00, -1.173330698119984e-01, 3.278210679797151e+02
