"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, -4.500000000000000e-01, 3.000000000000000e-01, 9.158091985510154e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.974094502450119e+06, 7.896378009800476e+05, 3.003677313380415e+02, 0.000000000000000e+00, 1.187796287242383e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.847655739527964e-05, 5.987125937140201e+00, 0.000000000000000e+00, -1.255714593444694e+00, 3.156107858211867e+02
1, 0.000000000000000e+00, 3.000000000000000e-01, 8.798376194110476e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.115742095251536e+06, 8.462968381006141e+05, 3.350815659079823e+02, 0.000000000000000e+00, 1.285382866508917e+08, 0.000000000000000e+00, 0.000000000000000e+00, 2.007398199274178e-05, -2.258591949456854e+00, 3.647705562022760e-01, -9.047311879733170e+00, 2.244444274994019e+02
2, 5.000000000000000e-01, 1.000000000000000e-01, 7.792120483839657e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.019834885595682e+06, 8.079339542382725e+05, 3.612023326931984e+02, 0.000000000000000e+00, 1.219308630214380e+08, 0.000000000000000e+00, 0.000000000000000e+00, 2.122205023908701e-05, 1.455918493986066e+01, -7.459765838002652e+00, -3.345443486338657e+01, 4.139489685333879e+02
3, 7.000000000000000e-01, 5.000000000000000e-02, 2.536658927111232e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.912272453564857e+05, 2.364908981425942e+05, 3.247750804060548e+02, 0.000000000000000e+00, 2.350848254341009e+07, 0.000000000000000e+00, 0.000000000000000e+00, 1.960864091472713e-05, 1.274741588649459e+02, 2.246862739347665e+01, -1.765054817535007e+02, 5.687505721692847e+02
4, 1.300000000000000e+00, 2.300000000000000e-01, 6.866445636201005e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.558861206386656e+05, 6.235444825546623e+04, 3.163485149410993e+02, 0.000000000000000e+00, -6.483874075609426e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.922268923450128e-05, -8.204212492864826e+00, -1.505331926713792e+00, -1.511485395957711e+01, 7.833876136440995e+01
5, 1.700000000000000e+00, 2.500000000000000e-01, 7.707053202409396e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.832228011951877e+05, 7.328912047807507e+04, 3.312695350956539e+02, 0.000000000000000e+00, -4.600542992282837e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.990271236254813e-05, -5.810082303974797e+00, 6.589104187571465e-03, -1.734763013079575e+01, 9.025352761333028e+01
6, 3.000000000000000e+00, 2.500000000000000e-01, 1.187890205887957e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.701531428645270e+05, 1.080612571458108e+05, 3.169013281597083e+02, 0.000000000000000e+00, 1.388429012257292e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.924816396954579e-05, -3.674267115973348e+00, -4.558227043923088e+00, -1.050317739040352e+01, 1.900936809123320e+02
7, 3.000000000000000e+00, 2.500000000000000e+00, 1.143544852764877e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.447302433734901e+05, 9.789209734939603e+04, 2.982117664637986e+02, 0.000000000000000e+00, -3.630541914462441e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.837442501634951e-05, 2.479781828306931e-02, 1.158537392583344e-02, 3.000054214978592e-01, 1.622607777965700e+01
8, 1.300000000000000e+01, 2.500000000000000e+00, 1.161212819648926e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.500015985621461e+05, 1.000006394248584e+05, 3.000000316498728e+02, 0.000000000000000e+00, 1.101312126034599e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845916400956376e-05, 2.202800046835870e-03, 0.000000000000000e+00, 2.180671342666312e-06, 1.043856915313591e+01
9, 1.300000000000000e+01, -2.500000000000000e+00, 1.161218427081855e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.500027833291195e+05, 1.000011133316478e+05, 3.000000046777545e+02, 0.000000000000000e+00, 1.917544536863763e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845916273331473e-05, 2.373209613948365e-03, 0.000000000000000e+00, 2.333947444431474e-06, 1.083484149344219e+01
