"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, -4.500000000000000e-01, 3.000000000000000e-01, 9.181833535060283e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.978317038319836e+06, 7.913268153279343e+05, 3.002318851550021e+02, 0.000000000000000e+00, 1.190705357726437e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.847013263895830e-05, 5.243640476959621e+00, 0.000000000000000e+00, -8.634011495184774e-01, 2.958505230181399e+02
1, 0.000000000000000e+00, 3.000000000000000e-01, 8.777425075782771e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.037975208954565e+06, 8.151900835818256e+05, 3.235356204297860e+02, 0.000000000000000e+00, 1.231806210076990e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.955218578866496e-05, 5.056651137260538e-01, -8.166669717843313e-02, -6.506547200730293e-01, 1.089035287556943e+02
2, 5.000000000000000e-01, 1.000000000000000e-01, 8.358645957409388e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.024942226792098e+06, 8.099768907168390e+05, 3.375724868713026e+02, 0.000000000000000e+00, 1.222827277772366e+08, 0.000000000000000e+00, 0.000000000000000e+00, 2.018536868949676e-05, 1.415046381339384e+01, -7.250347253852411e+00, -1.712532774506740e+01, 4.443798915393333e+02
3, 7.000000000000000e-01, 5.000000000000000e-02, 2.514442352534460e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.864577620855226e+05, 2.345831048342090e+05, 3.250015200570898e+02, 0.000000000000000e+00, 2.317989414449902e+07, 0.000000000000000e+00, 0.000000000000000e+00, 1.961894324078391e-05, 1.286371085792057e+02, 2.267360920343497e+01, -1.749893088593367e+02, 5.685328846074433e+02
4, 1.300000000000000e+00, 2.300000000000000e-01, 7.287275689336787e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.681914490868529e+05, 6.727657963474115e+04, 3.216096334564953e+02, 0.000000000000000e+00, -5.636111761926286e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.946424693177311e-05, -2.333992084445228e+01, -4.282474161253496e+00, 2.881416725359375e+00, 1.344315128575894e+02
5, 1.700000000000000e+00, 2.500000000000000e-01, 6.799383062282678e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.718606782547314e+05, 6.874427130189256e+04, 3.522064856836969e+02, 0.000000000000000e+00, -5.383324181172797e+06, 0.000000000000000e+00, 0.000000000000000e+00, 2.083155883311410e-05, -3.965567250990860e+01, 4.497274636148373e-02, -3.499090875983241e+01, 2.115956698843690e+02
6, 3.000000000000000e+00, 2.500000000000000e-01, 1.104404952931543e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.373172438590856e+05, 9.492689754363420e+04, 2.994272260137701e+02, 0.000000000000000e+00, -8.737647869516724e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.843204776515923e-05, -2.004107428560634e+00, -2.486258181959164e+00, -1.499907379159082e+00, 1.413626118574246e+02
7, 3.000000000000000e+00, 2.500000000000000e+00, 1.325938465925833e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.011224890039554e+05, 1.204489956015821e+05, 3.164536857894462e+02, 0.000000000000000e+00, 3.522028667639377e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.922753741025982e-05, 1.401621514533673e-01, 6.548281450813073e-02, 1.089434071089230e-01, 3.969605698553057e+01
8, 1.300000000000000e+01, 2.500000000000000e+00, 1.161211772804648e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.500013621642120e+05, 1.000005448656848e+05, 3.000000184269740e+02, 0.000000000000000e+00, 9.384483224122715e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845916338389130e-05, 1.936476123902934e-03, 0.000000000000000e+00, 2.723812059681958e-06, 9.787219454597139e+00
9, 1.300000000000000e+01, -2.500000000000000e+00, 1.161216507010033e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.500023549746251e+05, 1.000009419898500e+05, 2.999999867073184e+02, 0.000000000000000e+00, 1.622434334202310e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845916188300138e-05, 2.057817749375366e-03, 0.000000000000000e+00, 7.156259383550240e-06, 1.008922083642887e+01
