"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, -4.500000000000000e-01, 3.000000000000000e-01, 2.873970733610789e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.267934462686774e+06, 2.507173785074709e+06, 3.039012190582162e+02, 0.000000000000000e+00, 4.145990954375857e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.864317668238573e-05, 3.616017693681951e-01, 0.000000000000000e+00, -3.036812901692363e+00, 2.079889071831034e+02
1, 0.000000000000000e+00, 3.000000000000000e-01, 2.544857796230809e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.430434658073233e+06, 2.572173863229292e+06, 3.521009093785057e+02, 0.000000000000000e+00, 4.257943708985246e+08, 0.000000000000000e+00, 0.000000000000000e+00, 2.082694606854746e-05, 3.390444964325926e+00, -5.586318204625537e-01, -6.941477419742248e+00, 4.479861054244120e+02
2, 5.000000000000000e-01, 1.000000000000000e-01, 2.237067231076444e+01, 0.000000000000000e+00, 0.000000000000000e+00, 5.491020574721297e+06, 2.196408229888518e+06, 3.420301346731951e+02, 0.000000000000000e+00, 3.610744521932030e+08, 0.000000000000000e+00, 0.000000000000000e+00, 2.038367547903670e-05, 1.367003331317295e+01, -7.012383062339632e+00, -1.418258172373194e+01, 8.810274484982396e+02
3, 7.000000000000000e-01, 5.000000000000000e-02, 7.595945164851629e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.759235219276966e+06, 7.036940877107861e+05, 3.227248641006508e+02, 0.000000000000000e+00, 1.039771304580497e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.951519914827908e-05, 8.862204245653788e+01, 1.588301220749782e+01, -1.134103779086488e+02, 1.336788878884344e+03
4, 1.300000000000000e+00, 2.300000000000000e-01, 7.555378036432769e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.739929272192660e+05, 6.959717088770639e+04, 3.208970553995512e+02, 0.000000000000000e+00, -5.236425191590068e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.943164502232510e-05, 4.789929563036031e+01, 8.821262143554820e+00, -3.969395273417296e+01, 3.392983093242631e+02
5, 1.700000000000000e+00, 2.500000000000000e-01, 7.649829658886710e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.711738001496345e+05, 6.846952005985381e+04, 3.117998229764809e+02, 0.000000000000000e+00, -5.430645906395093e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.901223671303529e-05, 6.794130697729814e+01, -7.730987001366972e-02, -6.316266297829529e+01, 4.169378977222578e+02
6, 3.000000000000000e+00, 2.500000000000000e-01, 1.049427714908940e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.378533199211580e+05, 9.514132796846317e+04, 3.158253780804412e+02, 0.000000000000000e+00, -8.368324056173397e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.919856178238345e-05, 3.697285496481603e+00, 4.556131731176582e+00, -1.843470514185089e+01, 1.943481516563871e+02
7, 3.000000000000000e+00, 2.500000000000000e+00, 1.167352353792844e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.523627863970887e+05, 1.009451145588355e+05, 3.012407271150191e+02, 0.000000000000000e+00, 1.627816170181155e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.851781143734899e-05, -8.722473116601018e-03, -3.916422354376798e-03, 2.433241956928275e-01, 9.155577647495297e+00
8, 1.300000000000000e+01, 2.500000000000000e+00, 1.161224883619311e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.500041536092844e+05, 1.000016614437137e+05, 2.999999809536659e+02, 0.000000000000000e+00, 2.861584257459394e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845916161075380e-05, 1.764693978143432e-03, 0.000000000000000e+00, 2.072722391790677e-05, 1.868617638794838e+01
9, 1.300000000000000e+01, -2.500000000000000e+00, 1.161227412965380e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.500047419582734e+05, 1.000018967833093e+05, 3.000000335093816e+02, 0.000000000000000e+00, 3.266920939264523e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845916409755078e-05, 1.694677055576291e-03, 0.000000000000000e+00, 1.239482516336616e-05, 1.831174076223478e+01
