"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, -4.500000000000000e-01, 3.000000000000000e-01, 2.867707206984790e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.161529046141764e+06, 2.464611618456705e+06, 2.993946455138544e+02, 0.000000000000000e+00, 4.072684091825670e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.843050466735926e-05, 3.959500573389111e+00, 0.000000000000000e+00, 1.455380818566344e-01, 6.954309677971920e+02
1, 0.000000000000000e+00, 3.000000000000000e-01, 2.493692286470466e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.207253088810667e+06, 2.482901235524266e+06, 3.468541762907035e+02, 0.000000000000000e+00, 4.104185177202750e+08, 0.000000000000000e+00, 0.000000000000000e+00, 2.059682004337745e-05, 1.512366677288615e+00, -2.491873954687871e-01, -1.761382680635604e+00, 2.994882814722778e+02
2, 5.000000000000000e-01, 1.000000000000000e-01, 2.488214546453455e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.020920433328187e+06, 2.408368173331274e+06, 3.371827900588922e+02, 0.000000000000000e+00, 3.975813306600775e+08, 0.000000000000000e+00, 0.000000000000000e+00, 2.016796988023527e-05, 1.268537943915111e+01, -6.507280405288738e+00, -1.070626380201711e+01, 9.046510474145504e+02
3, 7.000000000000000e-01, 5.000000000000000e-02, 8.331255977228908e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.946185119619896e+06, 7.784740478479582e+05, 3.255097533071563e+02, 0.000000000000000e+00, 1.168568419362835e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.964205333371938e-05, 8.969262528046231e+01, 1.607488411193816e+01, -1.158254002449538e+02, 1.399331932182000e+03
4, 1.300000000000000e+00, 2.300000000000000e-01, 8.040208233473489e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.862033237118545e+05, 7.448132948474179e+04, 3.227085476219987e+02, 0.000000000000000e+00, -4.395203112461396e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.951445431822781e-05, 4.883642062748221e+01, 8.993845584544935e+00, -3.911375681739151e+01, 3.519230802002643e+02
5, 1.700000000000000e+00, 2.500000000000000e-01, 7.943592646285342e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.824349332257871e+05, 7.297397329031481e+04, 3.200231337283450e+02, 0.000000000000000e+00, -4.654822305137288e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.939161225436805e-05, 7.143761926149794e+01, -8.128829580858414e-02, -7.607085272963761e+01, 4.271395684761093e+02
6, 3.000000000000000e+00, 2.500000000000000e-01, 1.148203294732041e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.546537374417458e+05, 1.018614949766983e+05, 3.090449151949219e+02, 0.000000000000000e+00, 3.206142150126347e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.888404092699283e-05, -3.208209713503964e+00, -3.953448033665274e+00, 1.693954446688180e-02, 1.925205918286166e+02
7, 3.000000000000000e+00, 2.500000000000000e+00, 1.384979208406787e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.206352186100452e+05, 1.282540874440180e+05, 3.225955011363555e+02, 0.000000000000000e+00, 4.866337100102958e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.950929335151148e-05, -2.983330359967745e-02, -1.339526250878452e-02, 3.239629168031644e-01, 1.750593726921177e+01
8, 1.300000000000000e+01, 2.500000000000000e+00, 1.161221990835972e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.500035554734300e+05, 1.000014221893720e+05, 3.000000105471131e+02, 0.000000000000000e+00, 2.449505020476924e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845916301103721e-05, 1.519017404982813e-03, 0.000000000000000e+00, 1.339483384872072e-05, 1.733670436159805e+01
9, 1.300000000000000e+01, -2.500000000000000e+00, 1.161223990709421e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.500040167155602e+05, 1.000016066862241e+05, 3.000000473653602e+02, 0.000000000000000e+00, 2.767272804653764e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845916475317887e-05, 1.459310783708931e-03, 0.000000000000000e+00, 1.004245724651252e-05, 1.699258289270809e+01
10, 3.000000000000000e+00, -2.500000000000000e+00, 1.379169264745693e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.186513516739695e+05, 1.274605406695878e+05, 3.219500756519627e+02, 0.000000000000000e+00, 4.729660730118315e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.947981020826156e-05, -6.937191867806853e-03, 3.114824539367853e-03, 2.966911322765498e-01, 8.574402069928542e+00
11, 3.000000000000000e+00, -2.500000000000000e-01, 1.187964044174644e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.605547041267236e+05, 1.042218816506894e+05, 3.056229468496784e+02, 0.000000000000000e+00, 7.271549417301576e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.872402083658172e-05, -3.113162471464189e+00, 3.836322170432002e+00, 2.335896960707068e-01, 2.272134708482448e+02
12, 1.700000000000000e+00, -2.500000000000000e-01, 7.810446276594687e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.804172684570748e+05, 7.216690738282989e+04, 3.218789607100724e+02, 0.000000000000000e+00, -4.793827140299772e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.947655987189912e-05, 7.004510173510080e+01, 7.970376210293499e-02, -9.100240034685143e+01, 5.215298598805904e+02
13, 1.300000000000000e+00, -2.300000000000000e-01, 7.092297786069368e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.653060141590000e+05, 6.612240566359997e+04, 3.247820575693115e+02, 0.000000000000000e+00, -5.834900685010993e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.960895840811586e-05, 6.229245491512797e+01, -1.147194471789852e+01, -3.192948629120806e+01, 2.413365540514642e+02
14, 7.000000000000000e-01, -5.000000000000000e-02, 6.965369912335303e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.643999658995275e+06, 6.575998635981100e+05, 3.288878836061295e+02, 0.000000000000000e+00, 9.603810098684779e+07, 0.000000000000000e+00, 0.000000000000000e+00, 1.979520710116962e-05, 1.044117033873975e+02, -1.871286530400455e+01, -1.321061193262143e+02, 1.477924263602436e+03
15, 5.000000000000000e-01, -1.000000000000000e-01, 2.420873380167421e+01, 0.000000000000000e+00, 0.000000000000000e+00, 5.998894095992099e+06, 2.399557638396839e+06, 3.452943377187678e+02, 0.000000000000000e+00, 3.960638499377519e+08, 0.000000000000000e+00, 0.000000000000000e+00, 2.052806508950019e-05, 1.187996795919577e+01, 6.094124547403315e+00, -1.436125335795698e+01, 1.021650171451359e+03
16, 0.000000000000000e+00, -3.000000000000000e-01, 2.506302758756094e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.209932563991511e+06, 2.483973025596604e+06, 3.452579507749576e+02, 0.000000000000000e+00, 4.106031172690260e+08, 0.000000000000000e+00, 0.000000000000000e+00, 2.052645934577044e-05, 1.502449865082425e+00, 2.475533280631873e-01, -4.005345726059685e+00, 2.285024820010458e+02
17, -4.500000000000000e-01, -3.000000000000000e-01, 2.859258974546499e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.149529446516755e+06, 2.459811778606702e+06, 2.996944698421780e+02, 0.000000000000000e+00, 4.064417097259696e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.844470205125740e-05, 4.343179719050873e+00, 0.000000000000000e+00, 4.017233696397446e-01, 7.267125277028863e+02
18, -4.396425949382961e-01, 3.000000000000000e-01, 2.892927493504104e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.209413295790294e+06, 2.483765318316117e+06, 2.990910070164572e+02, 0.000000000000000e+00, 4.105673428471128e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.841611962365751e-05, 4.004324464032512e+00, 0.000000000000000e+00, 1.160816528637007e-01, 1.125028376668916e+03
19, -4.293965571192442e-01, 3.000000000000000e-01, 2.896781289601339e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.203196784767006e+06, 2.481278713906802e+06, 2.983940702506397e+02, 0.000000000000000e+00, 4.101390630339954e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.838307497801553e-05, 3.940550496039291e+00, 0.000000000000000e+00, 8.902639876407851e-01, 6.405474575960341e+02
20, -4.191606567246810e-01, 3.000000000000000e-01, 2.893449959911628e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.190646491255702e+06, 2.476258596502280e+06, 2.981332164625966e+02, 0.000000000000000e+00, 4.092744241168510e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.837069717893727e-05, 3.896905574741813e+00, 0.000000000000000e+00, 6.960480381521551e-01, 5.610350418008234e+02
21, -4.089659777422370e-01, 3.000000000000000e-01, 2.885589486399434e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.177783457087172e+06, 2.471113382834869e+06, 2.983241906481138e+02, 0.000000000000000e+00, 4.083882392698871e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.837975962976471e-05, 3.876235157590473e+00, 0.000000000000000e+00, 3.291828732330022e-02, 4.481885491350956e+02
22, -3.987624016816478e-01, 3.000000000000000e-01, 2.876628301601105e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.170665214994972e+06, 2.468266085997988e+06, 2.989087114784605e+02, 0.000000000000000e+00, 4.078978356686463e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.840747985873611e-05, 4.171364916452551e+00, 0.000000000000000e+00, -6.157568921162505e-01, 6.536451896396749e+02
23, -3.885171691223315e-01, 3.000000000000000e-01, 2.876888890421428e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.191202321179411e+06, 2.476480928471764e+06, 2.998763692359797e+02, 0.000000000000000e+00, 4.093127174191487e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.845331204553308e-05, 4.456380805398835e+00, 0.000000000000000e+00, -1.707771393718485e+00, 6.531710051688206e+02
24, -3.782801776548705e-01, 3.000000000000000e-01, 2.860065432776653e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.184292790503061e+06, 2.473717116201224e+06, 3.013036621687490e+02, 0.000000000000000e+00, 4.088366927654946e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.852078322633668e-05, 4.721088039133263e+00, 0.000000000000000e+00, -3.791919945594059e+00, 5.884447195141856e+02
25, -3.680846699930928e-01, 3.000000000000000e-01, 2.830480061620245e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.156967122634149e+06, 2.462786849053659e+06, 3.031077712280869e+02, 0.000000000000000e+00, 4.069541203893872e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.860584481032740e-05, 5.010716076448701e+00, 0.000000000000000e+00, -4.966120494401705e+00, 6.321935080391310e+02
26, -3.578821357862058e-01, 3.000000000000000e-01, 2.822961758019339e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.183286344349887e+06, 2.473314537739954e+06, 3.052141757114306e+02, 0.000000000000000e+00, 4.087673547447336e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.870484709020048e-05, 5.248824323132290e+00, 0.000000000000000e+00, -7.247325960143281e+00, 4.409723313812090e+02
27, -3.476378089591216e-01, 3.000000000000000e-01, 2.797620167913473e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.175703981697749e+06, 2.470281592679099e+06, 3.076012226918018e+02, 0.000000000000000e+00, 4.082449760587662e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.881663658827026e-05, 5.058428973487292e+00, 0.000000000000000e+00, -8.660018022224246e+00, 6.703629654025726e+02
28, -3.373997220470061e-01, 3.000000000000000e-01, 2.770800264943425e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.170588591491660e+06, 2.468235436596664e+06, 3.103213872312232e+02, 0.000000000000000e+00, 4.078925567751392e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.894350930212474e-05, 4.965081051768257e+00, 0.000000000000000e+00, -1.039701479960723e+01, 5.869838746271013e+02
29, -3.272033309432996e-01, 3.000000000000000e-01, 2.737997774186048e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.158048105852535e+06, 2.463219242341014e+06, 3.134009604809106e+02, 0.000000000000000e+00, 4.070285935607561e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.908648746202140e-05, 4.881194539281691e+00, 0.000000000000000e+00, -1.358838696084763e+01, 5.300634578879054e+02
