"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, -4.500000000000000e-01, 3.000000000000000e-01, 2.542279502583822e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.789953378312029e+06, 2.715981351324811e+06, 3.721635476760655e+02, 0.000000000000000e+00, 4.505630248491586e+08, 0.000000000000000e+00, 0.000000000000000e+00, 2.169120606588744e-05, -8.158940894052012e+00, 0.000000000000000e+00, -2.849668686285584e+01, 7.986352695078131e+02
1, 0.000000000000000e+00, 3.000000000000000e-01, 2.543254668668423e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.656758653613381e+06, 2.662703461445352e+06, 3.647231228521991e+02, 0.000000000000000e+00, 4.413867181413479e+08, 0.000000000000000e+00, 0.000000000000000e+00, 2.137352941260712e-05, -6.856146056525261e-01, 1.129663331277622e-01, -1.287370321648456e+01, 1.962405443488590e+02
2, 5.000000000000000e-01, 1.000000000000000e-01, 2.043460900212613e+01, 0.000000000000000e+00, 0.000000000000000e+00, 4.720700906418640e+06, 1.888280362567456e+06, 3.219070511190925e+02, 0.000000000000000e+00, 3.080041105907332e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.947784379766831e-05, 8.708211918114987e+00, -4.467093558507194e+00, -1.098305896054470e+01, 7.033223411570295e+02
3, 7.000000000000000e-01, 5.000000000000000e-02, 7.506912033901202e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.637869817245101e+06, 6.551479268980402e+05, 3.040243646686855e+02, 0.000000000000000e+00, 9.561579215969861e+07, 0.000000000000000e+00, 0.000000000000000e+00, 1.864896643710847e-05, 7.762915218053848e+01, 1.391284535499032e+01, -9.316322851143516e+01, 1.301554449232096e+03
4, 1.300000000000000e+00, 2.300000000000000e-01, 1.032972733019070e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.574612417423795e+05, 1.029844966969518e+05, 3.473068414674700e+02, 0.000000000000000e+00, 5.140341917001513e+05, 0.000000000000000e+00, 0.000000000000000e+00, 2.061674346071881e-05, 4.789943557387762e+01, 8.821287915926526e+00, -4.201098537275057e+01, 3.739281496870796e+02
5, 1.700000000000000e+00, 2.500000000000000e-01, 1.190251410306474e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.967525259524767e+05, 1.187010103809907e+05, 3.474129926212628e+02, 0.000000000000000e+00, 3.220964782767850e+06, 0.000000000000000e+00, 0.000000000000000e+00, 2.062141365252426e-05, 6.983835409870322e+01, -7.946850476608375e-02, -5.359163700731735e+01, 4.861381125108603e+02
6, 3.000000000000000e+00, 2.500000000000000e-01, 7.916494068189394e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.417662756814088e+05, 9.670651027256351e+04, 4.255525197238204e+02, 0.000000000000000e+00, -5.672535445070788e+05, 0.000000000000000e+00, 0.000000000000000e+00, 2.388036144188942e-05, 2.050829655269193e+01, 2.527218976327809e+01, -6.532344363282189e+01, 3.196109838178799e+02
7, 3.000000000000000e+00, 2.500000000000000e+00, 2.024796185366119e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.484675000001105e+05, 2.193870000000441e+05, 3.774504268018214e+02, 0.000000000000000e+00, 2.056259606760760e+07, 0.000000000000000e+00, 0.000000000000000e+00, 2.191495863369694e-05, -1.638072141146520e+00, -7.355003868636806e-01, -6.768569285528695e-01, 1.396275507808759e+02
8, 1.300000000000000e+01, 2.500000000000000e+00, 1.161227886493662e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.500048013785465e+05, 1.000019205514186e+05, 2.999999824776053e+02, 0.000000000000000e+00, 3.307857894653335e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845916168286257e-05, 1.999882644836808e-03, 0.000000000000000e+00, 3.244124029296923e-05, 1.989246294825411e+01
9, 1.300000000000000e+01, -2.500000000000000e+00, 1.161230874977637e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.500054898782858e+05, 1.000021959513143e+05, 3.000000365947462e+02, 0.000000000000000e+00, 3.782192354296326e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845916424354203e-05, 1.914851764482569e-03, 0.000000000000000e+00, 2.364995670909224e-05, 1.946499875542033e+01
10, 3.000000000000000e+00, -2.500000000000000e+00, 1.971551889616489e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.275924703053891e+05, 2.110369881221556e+05, 3.728899800422157e+02, 0.000000000000000e+00, 1.912443344182185e+07, 0.000000000000000e+00, 0.000000000000000e+00, 2.172204667582746e-05, -1.748351410376598e+00, 7.850161823765571e-01, -6.342351811132908e-01, 1.459505227987131e+02
11, 3.000000000000000e+00, -2.500000000000000e-01, 8.149206186740825e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.666253535925279e+05, 1.066501414370111e+05, 4.559072250733345e+02, 0.000000000000000e+00, 1.145385780375325e+06, 0.000000000000000e+00, 0.000000000000000e+00, 2.506109674617654e-05, 1.906162863749234e+01, -2.348947387643420e+01, -7.238799856088420e+01, 3.479110579616140e+02
12, 1.700000000000000e+00, -2.500000000000000e-01, 1.100194019721288e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.775420335084306e+05, 1.110168134033722e+05, 3.515198244297761e+02, 0.000000000000000e+00, 1.897478653167136e+06, 0.000000000000000e+00, 0.000000000000000e+00, 2.080154515278958e-05, 7.346174905748408e+01, 8.359153781639948e-02, -8.475305283902321e+01, 5.935185476146585e+02
13, 1.300000000000000e+00, -2.300000000000000e-01, 9.322587874573670e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.321757282794910e+05, 9.287029131179636e+04, 3.470329143538344e+02, 0.000000000000000e+00, -1.227983949971016e+06, 0.000000000000000e+00, 0.000000000000000e+00, 2.060468851618903e-05, 6.009956472901748e+01, -1.106809620973237e+01, -4.140945639454703e+01, 2.586451153155595e+02
14, 7.000000000000000e-01, -5.000000000000000e-02, 6.438963698145683e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.394665476620245e+06, 5.578661906480978e+05, 3.018174952197589e+02, 0.000000000000000e+00, 7.886049177303700e+07, 0.000000000000000e+00, 0.000000000000000e+00, 1.854503507857326e-05, 8.944542174268716e+01, -1.603057966519882e+01, -1.037087853589918e+02, 1.403863662346239e+03
