"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, -4.500000000000000e-01, 3.000000000000000e-01, 2.888184192210003e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.215967999369310e+06, 2.486387199747724e+06, 2.998984491879120e+02, 0.000000000000000e+00, 4.110189220711093e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.845435700114770e-05, 1.446355982817740e+00, 0.000000000000000e+00, -1.542052248130567e-02, 4.212644082962074e+02
1, 0.000000000000000e+00, 3.000000000000000e-01, 2.488883528221839e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.210698991931229e+06, 2.484279596772491e+06, 3.477172564882127e+02, 0.000000000000000e+00, 4.106559194941907e+08, 0.000000000000000e+00, 0.000000000000000e+00, 2.063479594939885e-05, 5.969912948109191e-01, -9.836417854575777e-02, -1.265762943586201e+01, 1.876359864394556e+02
2, 5.000000000000000e-01, 1.000000000000000e-01, 2.538228485746139e+01, 0.000000000000000e+00, 0.000000000000000e+00, 5.968895475434862e+06, 2.387558190173944e+06, 3.276827628139090e+02, 0.000000000000000e+00, 3.939971273729714e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.974066110754515e-05, 1.182223036339716e+01, -6.064506651894995e+00, -1.190799818759942e+01, 9.011581270645836e+02
3, 7.000000000000000e-01, 5.000000000000000e-02, 8.618090763387793e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.950003443377677e+06, 7.800013773510705e+05, 3.152932340613718e+02, 0.000000000000000e+00, 1.171199012277862e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.917399865588002e-05, 8.584210973581132e+01, 1.538478734023664e+01, -1.090066947375234e+02, 1.426320269678937e+03
4, 1.300000000000000e+00, 2.300000000000000e-01, 8.481219186754402e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.938614580813363e+05, 7.754458323253451e+04, 3.185103316737475e+02, 0.000000000000000e+00, -3.867604215861066e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.932218527253470e-05, 4.749938547055066e+01, 8.747613621021728e+00, -4.049908384647152e+01, 3.600107736131922e+02
5, 1.700000000000000e+00, 2.500000000000000e-01, 8.270294823330724e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.907796706058390e+05, 7.631186824233558e+04, 3.214411250783696e+02, 0.000000000000000e+00, -4.079920635654981e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.945654056541127e-05, 7.091937671404334e+01, -8.069859175722333e-02, -7.870050601371543e+01, 4.328018229294445e+02
6, 3.000000000000000e+00, 2.500000000000000e-01, 1.173567746108096e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.582746003336175e+05, 1.033098401334470e+05, 3.066647581280533e+02, 0.000000000000000e+00, 5.700696534162143e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.877283116836787e-05, -6.253265823003036e-01, -7.705843345551333e-01, -7.133585459367645e-01, 8.643887491377012e+01
7, 3.000000000000000e+00, 2.500000000000000e+00, 1.329497541559862e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.023193160364770e+05, 1.209277264145908e+05, 3.168609313574339e+02, 0.000000000000000e+00, 3.604482773471756e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.924630314856082e-05, 8.458842543534792e-02, 3.798051262158852e-02, 1.801017962259180e-01, 2.927564848067720e+01
8, 1.300000000000000e+01, 2.500000000000000e+00, 1.150081029338301e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.675985564383349e+05, 1.070394225753339e+05, 3.242243760388588e+02, 0.000000000000000e+00, 1.212433539378121e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.958357059225924e-05, 4.896345399778669e+00, 0.000000000000000e+00, -3.132862438466939e+00, 9.233107939950920e+02
9, 1.300000000000000e+01, -2.500000000000000e+00, 1.166155945574921e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.719292843840228e+05, 1.087717137536091e+05, 3.249299064928598e+02, 0.000000000000000e+00, 1.510794364010108e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.961568542431656e-05, 4.972575252771019e+00, 0.000000000000000e+00, -3.235015888479559e+00, 9.354165659803255e+02
10, 3.000000000000000e+00, -2.500000000000000e+00, 1.289186700183365e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.894561793199083e+05, 1.157824717279633e+05, 3.128652621155765e+02, 0.000000000000000e+00, 2.718290861571412e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.906166596164518e-05, 6.297916371217928e-02, -2.827787501595788e-02, 2.266259329185015e-01, 2.552603884605770e+01
